species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Kerivoula_papillosa,Chiroptera,0.31,10.1,"Jones & MacLarnon, 2004",NA
Kerivoula_pellucida,Chiroptera,0.2,4.1,"Jones & MacLarnon, 2004",NA
Kerivoula_phalaena,Chiroptera,0.12,3,"Jones & MacLarnon, 2004",NA
Kobus_ellipsiprymnus,Artiodactyla,290,188200,"Boddy et al., 2012",NA
Kobus_kob,Artiodactyla,204,117500,"Isler & van Schaik, 2012",NA
Kobus_leche,Artiodactyla,222.7,123000,"Isler & van Schaik, 2012",NA
Kogia_breviceps,Cetacea,1019,334000,"Montgomery et al., 2013",NA
Kogia_sima,Cetacea,622,168500,"Montgomery et al., 2013",NA
Lagenorhynchus_acutus,Cetacea,1103.17,244605,"Montgomery et al., 2013",NA
Lagenorhynchus_albirostris,Cetacea,1126,67500,"Montgomery et al., 2013",NA
Lagenorhynchus_cruciger,Cetacea,1129.2,110000,"Goodall et al., 1997; Faurby et al., 2018",NA
Lagenorhynchus_obliquidens,Cetacea,1136.75,89750,"Boddy et al., 2012",NA
Lagenorhynchus_obscurus,Cetacea,886.1,58473.1,"Montgomery et al., 2013",NA
Lagidium_viscacia,Rodentia,15.08,2460.5,"Boddy et al., 2012",NA
Lagorchestes_conspicillatus,Diprotodontia,14,3000,"Ashwell, 2008; Weisbecker et al., 2015",NA
Lagorchestes_hirsutus,Diprotodontia,7.77,1265,"Ashwell, 2008; Weisbecker et al., 2015",NA
Lagostomus_maximus,Rodentia,12.66,4270.75,"Boddy et al., 2012",NA
Lagostrophus_fasciatus,Diprotodontia,7,1750,"Ashwell, 2008; Weisbecker et al., 2015",NA
Lagothrix_cana,Primates,99.34,8215,"Isler et al., 2008",NA
